Collection,Topic,State,Title,Publisher,Date,Format,Link,What it covers,Verified quotes,Who should read it,Limitations,Verified on
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,FERC Directs Nation's Largest Grid Operator to Create New Rules to Embrace Innovation and Protect Consumers,Federal Energy Regulatory Commission (FERC),"December 18, 2025",Web page,https://www.ferc.gov/news-events/news/ferc-directs-nations-largest-grid-operator-create-new-rules-embrace-innovation-and,"Explains FERC's order in the PJM co-location proceeding. FERC found PJM's tariff unjust and unreasonable for lack of clear rules on data centers and other loads co-located with power plants, and directed PJM to offer defined transmission service options. It also ordered a report on faster generation additions, the reliability backstop, and load forecasting and demand flexibility. It traces the case back to FERC's February 2025 show cause order.","""Today, FERC directed grid operator PJM to establish transparent rules to facilitate service of AI-driven data centers and other large loads co-located with generating facilities."" | ""These rules will safeguard grid reliability and protect consumers in the mid-Atlantic territory, which serves over 67 million Americans in 13 states and D.C."" | ""In the order, the Commission finds PJM’s tariff unjust and unreasonable due to a lack of clarity and consistency in the rates, terms, and conditions that apply to interconnection customers serving co-located load and eligible customers taking transmission service on behalf of co-located loads."" | ""Enhanced load forecasting and demand flexibility measures to identify new capacity needed for system reliability.""",Officials in PJM states; utility regulators; anyone evaluating a data center paired with an existing or new power plant,,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,"Summaries: July 2026 Commission Meeting (Item E-1, Computational Load Integration, Docket No. RD26-7-000)","Federal Energy Regulatory Commission (FERC), Office of External Affairs","July 16, 2026 (meeting date)",Web page,https://www.ferc.gov/news-events/news/summaries-july-2026-commission-meeting,"Item E-1 summarizes FERC's order directing NERC to write mandatory reliability standards for 'computational loads' (data centers) connecting to the bulk power system. It also directs NERC to revise its Rules of Procedure, including registration criteria for computational load entities. This is the first time data centers are being brought into the mandatory reliability standards framework.","""The order directs North American Electric Reliability Corporation (NERC), pursuant to section 215(d)(5) of the Federal Power Act, to develop and submit new or modified Reliability Standards addressing the reliability risks associated with the integration of computational loads into the Bulk-Power System."" | ""Both The Reliability Standards and Rules of Procedure revisions are due by December 31, 2026.""","Utility regulators, municipal utility staff, officials in communities hosting large data centers","""The summaries are produced by FERC’s Office of External Affairs and are intended to provide only a general synopsis of the orders. These summaries are not intended as a substitute for the Commission’s official orders.""",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Secretary Wright Acts to Unleash American Industry and Innovation with Newly Proposed Rules,U.S. Department of Energy,"October 23, 2025",Web page,https://www.energy.gov/articles/secretary-wright-acts-unleash-american-industry-and-innovation-newly-proposed-rules,"DOE's announcement that the Secretary of Energy directed FERC to start a rulemaking on interconnecting large loads, including data centers. It describes the proposal's main features: joint load-and-generation interconnection requests and shorter study times.","""Secretary Wright’s proposed rule allows customers to file joint, co-located load and generation interconnection requests."" | ""It will also significantly reduce study times and grid upgrade costs, while reducing the time needed for additional generation and power to come online.""","Utility regulators, city attorneys",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Large Loads Action Plan,North American Electric Reliability Corporation (NERC),undated page; resources listed with modified dates through 08/26/2026,Web page,https://www.nerc.com/initiatives/large-loads-action-plan,"NERC's hub for its work on data centers and other emerging large loads. It gives background on the Large Loads Task Force (formed August 2024, now the Large Loads Working Group), quarterly action plan updates, and a resource list. The list includes a Large Loads FAQ, a Primer for Computational Loads, a Checklist for Computational Load Entities, a Characteristics and Risks white paper, a Gap Assessment, incident reviews of voltage-sensitive load reductions, and the July 16 FERC order. It also lists open comment periods and workshops.","""In addition to the rapid growth of emerging large loads, their electrical behavior can be distinctive and often less predictable than that of conventional loads."" | ""These unique characteristics pose risks to the BPS that need to be understood and managed."" | ""NERC’s Reliability and Security Technical Committee recently upgraded the Large Loads Task Force to a working group, now called the Large Loads Working Group (LLWG).""","Municipal utility engineers, utility regulators, emergency management staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Long-Term Reliability Assessments (2025 Long-Term Reliability Assessment),North American Electric Reliability Corporation (NERC),2025 assessment; report file listed as modified 02/24/2026,Web page,https://www.nerc.com/our-work/assessments/long-term-reliability-assessments,"NERC's annual 10-year outlook of supply, demand and transmission adequacy across the U.S. and Canada. The 2025 edition's summary on this page says data centers account for most of the projected jump in summer peak demand. It flags concern that new resources are not keeping pace. The page also offers the infographic and a MISO sensitivity case.","""Summer peak demand is forecast to grow by 224 GW, a more than 69% increase over the 2024 LTRA forecast with new data centers for artificial intelligence and the digital economy accounting for most of the projected increase."" | ""Winter demand growth continues to outpace summer demand growth with 246 GW of growth forecast over the next 10 years, reflecting the evolution of electricity usage."" | ""Uncertainty and lag in the pace of new resource additions are driving heightened concerns that industry will not be able to keep up with rapidly increasing demand.""","Council members, emergency managers, utility regulators, municipal utilities",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Department of Energy Releases Report on Evaluating U.S. Grid Reliability and Security,U.S. Department of Energy,"July 7, 2025",Web page,https://www.energy.gov/articles/department-energy-releases-report-evaluating-us-grid-reliability-and-security,"Summarizes DOE's resource adequacy report issued under the executive order on grid reliability. Highlights cover AI data center load growth, firm generation retirements, the projected rise in outage hours by 2030, and the gap between planned additions and firm capacity. It notes the method informs DOE's use of emergency authority under Federal Power Act section 202(c).","""Electricity demand from AI-driven data centers and advanced manufacturing is rising at a record pace."" | ""Modeling shows annual outage hours could increase from single digits today to more than 800 hours per year."" | ""The 104 GW of plant retirements are replaced by 209 GW of new generation by 2030; however, only 22 GW comes from firm baseload generation sources."" | ""The methodology also informs the potential use of DOE’s emergency authority under Section 202(c) of the Federal Power Act.""","Emergency managers, utility regulators, council members",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Speed to Power Initiative,"U.S. Department of Energy, Office of Electricity","undated page (describes actions from July 7, 2025 through April 2, 2026)",Web page,https://www.energy.gov/speed-to-power,Describes DOE's effort to shorten timelines for large transmission and generation projects to serve AI and data center demand. It covers the fall 2025 request for information and the $1.9 billion SPARK funding opportunity for reconductoring and advanced transmission technologies. It is useful for utilities and local governments tracking federal grid money in their region.,"""On September 18, 2025, the Office of Electricity launched the Speed to Power initiative: a federal effort to dramatically accelerate development timelines for large-scale transmission and generation projects."" | ""On March 12, 2026, the DOE’s Office of Electricity announced an approximate $1.9 billion to catalyze electricity infrastructure investments through the Speed to Power through Accelerated Reconductoring and other Key Advanced Transmission Technology Upgrades (SPARK) funding opportunity.""","Municipal utilities, grants staff, utility regulators",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,DOE Announces Site Selection for AI Data Center and Energy Infrastructure Development on Federal Lands,U.S. Department of Energy,"July 24, 2025",Web page,https://www.energy.gov/articles/doe-announces-site-selection-ai-data-center-and-energy-infrastructure-development-federal,"Announces four DOE sites (Idaho National Laboratory, Oak Ridge Reservation, Paducah Gaseous Diffusion Plant, Savannah River Site) selected to invite private partners for AI data center and energy projects. It ties the selection to the executive order on data center permitting. It commits to consultation with states, local governments and tribes.","""DOE looks forward to working with data center developers, energy companies, and the broader public in consultation with states, local governments, and federally recognized tribes that these projects will serve to further advance this important initiative."" | ""DOE is also evaluating additional sites that could issue solicitations in the future.""",Officials in counties near DOE sites; economic development staff,,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Executive Order 14318: Accelerating Federal Permitting of Data Center Infrastructure,"The White House (published by the Office of the Federal Register via GovInfo, DCPD-202500788)","July 23, 2025 (published in the Federal Register July 28, 2025)",Web page,https://www.govinfo.gov/content/pkg/DCPD-202500788/html/DCPD-202500788.htm,"The full text of the executive order. It defines a 'Data Center Project' and 'Qualifying Project', and directs financial support for Qualifying Projects. It calls for NEPA categorical exclusions, FAST-41 treatment, and EPA streamlining under the Clean Air Act and Clean Water Act. It also directs reuse of brownfield and Superfund sites, programmatic Endangered Species Act consultation, a Corps nationwide permit review, and making federal land available.","""Data Center Project"" | ""For purposes of this order, Federal financial assistance representing less than 50 percent of total project costs shall be presumed not to constitute substantial Federal control and responsibility."" | ""The Administrator of the Environmental Protection Agency shall, consistent with the Environmental Protection Agency's statutory authorities, expeditiously identify Brownfield Sites and Superfund Sites for use by Qualifying Projects.""","City attorneys, planning directors, environmental staff","The order states it ""is not intended to, and does not, create any right or benefit, substantive or procedural, enforceable at law or in equity by any party against the United States"" (Sec. 10).",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Best Practices Guide for Energy-Efficient Data Center Design,"U.S. Department of Energy, Federal Energy Management Program (FEMP)","July 26, 2024",Web page with downloadable guide,https://www.energy.gov/cmei/femp/articles/best-practices-guide-energy-efficient-data-center-design,"A federal design guide covering IT systems and environmental conditions, air management, cooling and electrical systems, and heat recovery. It ends with metrics and benchmarking values for judging a data center's efficiency. Local officials can use it to ask applicants informed questions about efficiency commitments.","""IT system energy efficiency and environmental conditions are presented first because measures taken in these areas have a cascading effect of secondary energy savings for the mechanical and electrical systems."" | ""This guide concludes with a section on metrics and benchmarking values by which a data center and its systems' energy efficiency can be evaluated.""","Building officials, sustainability staff, planning staff reviewing site plans","""No design guide can offer 'the most energy-efficient' data center design, but these guidelines can provide efficiency benefits for a wide variety of data center scenarios."" (the page puts the phrase in double quotes)",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Center of Expertise for Data Center Energy,Lawrence Berkeley National Laboratory,undated,Web page,https://datacenters.lbl.gov/,"LBNL's DOE-funded data center energy center. It links the national energy usage reports, a Data Center Energy Toolkit, and research areas: power and cooling, grid planning and procurement, load flexibility and grid integration, U.S. energy and water modeling, facility performance modeling, and hardware benchmarking. It also features the 'Speed to Power' large-load report and a 2026 National Academy of Engineering BRIDGE issue on AI data centers.","""We partner with industry and electric utilities to accelerate AI infrastructure and drive innovative energy systems in data centers."" | ""Our comprehensive toolkit can be used sequentially to move from a basic understanding of how energy is used in data centers to identifying opportunities and implementing best practices.""","Sustainability and planning staff, municipal utility engineers",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Speed to Power: Solutions for Accelerating Large Load Connections,"Lawrence Berkeley National Laboratory (Energy Analysis Division, Energy Markets and Planning)",06/2026,Report,https://eta.lbl.gov/publications/speed-power-solutions-accelerating,"Authors Fredrich Kahrl and Natalie Mims Frick review documents and literature to catalog solutions for large-load connection bottlenecks. The solutions are grouped into five functional areas: load forecasting, interconnection, resource planning and procurement, markets and operations, and cost allocation and ratemaking. It gives local and state officials a framework for the options utilities and regulators are using.","""Rapid growth in demand from data centers and other large loads is creating a range of new challenges for electricity planners, investors, system operators, and regulators, leading to bottlenecks that have slowed connection of large loads to the electric grid."" | ""Drawing on an extensive document and literature review, this report identifies more than 40 potential solutions for accelerating large load connections, organized into five functional areas: load forecasting, interconnection, resource planning and procurement, markets and operations, and cost allocation and ratemaking.""","Utility regulators, municipal utilities, council members negotiating with utilities",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Electricity Rate Designs for Large Loads: Evolving Practices and Opportunities 2026 Update,Lawrence Berkeley National Laboratory (Energy Analysis Division),"2026 (Year of Publication; webinar recorded September 2, 2026)",Report,https://eta-publications.lbl.gov/publications/electricity-rate-designs-large-0,"Authors Natalie Mims Frick, Peter Cappers, Goksin Kavlak, Long Lam, Ryan Hledik, Jadon Grove and Sebastian Rotella review how utilities and regulators use large-load tariffs, rate structures and electric service agreements to manage data center risks. It updates similar January 2025 work and includes a spreadsheet appendix. This is the most direct federal-lab resource on protecting other ratepayers.","""While these large loads play an important role in advancing technology innovation and economic growth in the United States, meeting their energy needs requires utilities and regulators to consider important operational and financial risks, such as insufficient energy supply or underutilized investments, that can impact all customers."" | ""This paper builds on similar research published in January 2025, providing an overview of how utilities and regulators are managing these risks through different tariffs, including rate structures and electric service agreements.""","Utility regulators, municipal utility boards, council members, consumer advocates",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,2026 Large Load Literature Review and Data Sources,Lawrence Berkeley National Laboratory (Energy Analysis Division),"2026, updated monthly (September 2026 update)",Report,https://eta-publications.lbl.gov/publications/2026-large-load-literature-review,"A monthly-updated bibliography by Natalie Mims Frick and Vinita Srinivasan. It organizes 2026 publications on large loads into 12 themes: utility models and markets, interconnection, tariffs, demand flexibility, load forecasting, data center siting and infrastructure, reliability, policy options, generation, design and operations, rate impacts of data centers, and transmission and distribution. A companion Large Load Data Sources file is included.","""The Large Load Literature Review and Data Sources reports are updated monthly, summarizing reports and data published in 2026 that focus on large loads."" | ""The September update catalogs 41 publications focused on large loads, and groups the documents and resources thematically into 12 categories (listed below).""",Staff researchers building their own reading lists; library maintainers,,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,The water use of data center workloads: A review and assessment of key determinants,"Lawrence Berkeley National Laboratory authors (Nuoa Lei, Jun Lu, Arman Shehabi, Eric R. Masanet); journal Resources, Conservation and Recycling (Elsevier)","2025 (Volume 219, article 108310)",Journal article,https://eta-publications.lbl.gov/publications/water-use-data-center-workloads,"Analyzes what drives water use per unit of computing work in data centers. The authors rank the factors: server efficiency, grid water consumption factors, server utilization, cooling system type, infrastructure efficiency, climate zone, inactive servers, and server refresh cycle. It shows why a single gallons-per-day figure for 'a data center' can mislead.","""Our findings reveal workload-level water use variations exceeding 10,000-fold, driven by over 1000-fold differences in water consumption per kilowatt hour of server electricity consumed and approximately 10-fold differences in server workload efficiency."" | ""Notably, there is no single recipe for minimizing water use; instead, optimal outcomes depend on tailored combinations of these factors.""","Water utility staff, planning staff reviewing water service requests, sustainability staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,DOE Data Center Load Flexibility Workshop Summary,Lawrence Berkeley National Laboratory for U.S. Department of Energy,"2025 (workshop held November 1, 2024)",Report,https://eta-publications.lbl.gov/publications/doe-data-center-load-flexibility,"Summarizes a DOE workshop at LBNL on data center energy demand and grid impacts. Participants from industry and regulators discussed demand flexibility options such as load shifting and on-site energy, and the barriers to them. It explains what 'flexible' data center commitments mean in practice.","""Forty-nine participants, including industry and regulatory experts, explored demand flexibility strategies like load shifting and on-site energy solutions."" | ""While opportunities exist, barriers such as regulatory complexity and high costs remain.""","Utility regulators, municipal utilities, officials evaluating 'flexible load' claims",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Chip-to-Grid Data Center Initiative,"National Laboratory of the Rockies (NLR, formerly the National Renewable Energy Laboratory)","Last Updated Feb. 27, 2026",Web page,https://www.nlr.gov/computational-science/chip-to-grid-data-center-initiative,"Describes NLR's program covering data center siting, design, power, cooling, local support and efficient operation, from chips to transmission and generation. It names the challenges data centers pose to local grids, and strategies such as predictive AI load models, workload scheduling and demand response. It links to DOE's FEMP best practices guide and NLR's ARIES test platform.","""The geographic distribution of data centers creates localized grid stress, and their high power densities necessitate significant cooling."" | ""Additionally, the lack of data transparency and difficulties in load forecasting present challenges to energy infrastructure.""","Municipal utilities, sustainability staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,"Data Center Infrastructure in the United States, November 2025","National Laboratory of the Rockies (Billy Roberts, Strategic Energy Analysis Center)",2025 (map as of November 2025; NLR Publication NREL/OT-6A20-98020),Map,https://research-hub.nlr.gov/en/publications/data-center-infrastructure-in-the-united-states-november-2025/,"A national lab map showing where data centers sit relative to transmission lines, fiber optic networks and metro areas. Local officials can use it to see how their jurisdiction relates to the infrastructure developers look for.","""This map illustrates the geospatial relationships between data center locations, transmission infrastructure, fiber optic networks, and metropolitan areas as of November 2025.""","Planning and GIS staff, economic development staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Data Centers Gap Analysis,"National Laboratory of the Rockies (Ellie Estreich, Luke Lavin, Ilya Chernyakhovskiy; Grid Planning and Analysis Center)",2026 (NLR/PR-6A40-97168),Presentation,https://research-hub.nlr.gov/en/publications/data-centers-gap-analysis/,A 41-page NLR slide deck reviewing literature on ways to integrate large loads quickly. It lays out options for data and modeling projects that would support a planned siting and decision-making tool for data centers.,"""Power system planners, utilities, regulators, and other stakeholders are grappling with how to integrate data centers on the system without comprising reliability, resiliency, and energy affordability."" | ""This slide deck supports the same workstream by reviewing the literature to identify mitigation options to facilitate near-term integration of large loads and by presenting options for pursuing data development and/or modeling projects to improve representation of siting options.""","Utility planners, regulators, analysts",,18 September 2026
"Industry, markets and technical explainers",Standards body / national lab framework,,PNNL/ASHRAE/NEMA AI Data Center Energy Performance Framework,ASHRAE with Pacific Northwest National Laboratory (PNNL) and NEMA,undated,Web framework,https://www.ashrae.org/technical-resources/ai-data-center-framework,"Created by PNNL, ASHRAE and NEMA after an industry survey, the framework covers planning and siting, integrated design, energy and thermal efficiency, grid-interactive design (demand flexibility), resilient design, commissioning, operations and maintenance, and retrofit. It states it covers energy sourcing, energy use and water use. The Site Planning page lists impacts and recommended practices, including early engagement with utilities, regulators and local stakeholders, and notes environmental factors such as water availability, noise and visual impacts. The framework states it does not set mandatory requirements or supersede codes.","""provides opportunities to lessen impacts on communities surrounding data center developments"" | ""What this framework does not do is establish mandatory requirements""",Planners and economic development staff preparing siting criteria or pre-application questions for large AI data centers.,Voluntary guidance written with industry partners; ASHRAE and NEMA represent engineering and manufacturing interests. The Tools page notes many industry tools are proprietary. No publication date shown.,18 September 2026
